,Accessories,Piercings,Glasses,Headwear,Ring,Footwear,Bottom,Top,Facial Hair,Hair Color,Hair Style,Background
96331,Light Blue Smartphone,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Dark Gray Longsleeve,Stubble,Light Grey,Short Afro Fade,White
96332,Brown Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Light Gray Longsleeve,,Black,Short Afro Fade,White
96333,Black Smartphone,,,,Two Rings,Brown Leather Shoes with Laces,Gray Slacks,Tan Blazer with Off-White Shirt and Tan Tie,,Black,Medium Curly Bob,White
96334,Brown Leather Briefcase,Stud Earring,,,,Tan Suede Workboot with Tan Sole,Gray Slacks,Brown Cardigan with Off-White Oxford and No Tie,,Black,Updo Bun,White
96335,Lunchbox,,,,,Brown Leather Shoes with Laces,Blue Denim,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Brown,,White
96336,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and Navy Tie,Goatee,Light Brown,Long Messy,White
96337,Black Leather Briefcase,,Black Books,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Dark Brown,Medium Curly Bob,White
96338,Brown Leather Briefcase,,Rosegold Aviators,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,,Black,Short Coil,White
96339,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Navy Slacks,Olive Oxford with Buttons,Stubble,Dark Brown,Buzz Cut,White
96340,,,Black Books,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Navy Oxford with Buttons,,Light Grey,Straight Sideswept Fringe,White
96341,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Khaki Slacks,Gray Oxford with Buttons,,Dark Brown,Long Messy,White
96342,Lunchbox,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Pocket,,Light Grey,Medium Curly Bob,White
96343,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Blue Longsleeve,Mustache,Black,Long Messy,White
96344,Brown Leather Briefcase,,Black Books,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and Navy Tie,,Light Grey,Straight Sideswept Fringe,White
96345,Brown Leather Briefcase,,Rosegold Aviators,,,Brown Leather Shoes with Laces,Khaki Slacks,Tan Blazer with Off-White Shirt and No Tie,,Black,Medium Curly Bob,White
96346,,,Silver Aviators,,,White Leather Sneaker with Grey Sole,Navy Slacks,Blue Longsleeve,,Black,Short Pixie,White
96347,Lunchbox,,,,Two Rings,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Gray Blazer with Black Shirt and No Tie,,Light Brown,Short Afro Fade,White
96348,Black Smartphone,,,Purple Worker's Cap,,White Canvas Sneaker with White Sole,,Denim Jumpsuit,Thin,Black,,White
96349,Brown Leather Briefcase,,Silver Aviators,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Black,Short Messy,White
96350,Black Leather Briefcase,,,,,Brown Leather Shoes with Laces,Khaki Slacks,Navy Oxford with Buttons,,Dark Brown,Short Coil,White
96351,,,Black Books,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Navy Oxford with Tie,,Black,Low Ponytail,White
96352,,,,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Olive Oxford with Tie,Goatee,Black,Low Ponytail,White
96353,,,Black Books,,,White Leather Sneaker with Grey Sole,Gray Slacks,Brown Cardigan with Beige Longsleeve Shirt,,Blonde,Low Ponytail,White
96354,Black Leather Briefcase,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Olive Oxford with Buttons,,Dark Brown,Short Coil,White
96355,Black Smartphone,,Black Books,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Charcoal Blazer with Light Blue Shirt and Black Tie,Beard,Black,Short Coil,White
96356,,,Silver Aviators,,Two Rings,Redbrown Leather Workboot with Brown Sole,Blue Denim,Olive Oxford with Buttons,,Dark Brown,Short Pixie,White
96357,,,Rosegold Aviators,,Two Rings,White Leather Sneaker with Grey Sole,Charcoal Slacks,Light Gray Cardigan with Light Gray Oxford Shirt,Goatee,Light Brown,Short Messy,White
96358,Brown Leather Briefcase,,Silver Aviators,,,White Canvas Sneaker with White Sole,Gray Slacks,Gray Oxford with Pocket,Thin,Black,Straight Sideswept Fringe,White
96359,Black Leather Briefcase,,Black Books,,,White Leather Sneaker with Grey Sole,Khaki Slacks,Brown Cardigan with Beige Longsleeve Shirt,,Blonde,Straight Sideswept Fringe,White
96360,,,,Navy Blue Worker's Cap,Two Rings,White Canvas Sneaker with White Sole,Gray Slacks,Tan Blazer with Off-White Shirt and No Tie,,Blonde,Buzz Cut,White
96361,Blue Lunchbox,,Rosegold Aviators,,,Redbrown Leather Workboot with Brown Sole,Khaki Slacks,Blue Longsleeve,Mustache,Black,Short Coil,White
96362,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,Thin,Black,Updo Bun,White
96363,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Gray Oxford with Buttons,,Light Brown,Straight Sideswept Fringe,White
96364,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Navy Oxford with Buttons,,Light Grey,Straight Sideswept Fringe,White
96365,,,,,,White Leather Sneaker with Grey Sole,Blue Denim,Gray Blazer with Black Shirt and Gray Tie,,Auburn,Short Pixie,White
96366,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Navy Blazer with Striped Shirt and No Tie,,Dark Brown,Short Updo,White
96367,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Navy Oxford with Buttons,Stubble,Black,Low Ponytail,White
96368,,,,,Two Rings,White Leather Sneaker with Grey Sole,Gray Slacks,Gray Blazer with Black Shirt and Gray Tie,,Light Brown,Short Coil,White
96369,,,Black Books,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Gray Oxford with Buttons,,Light Grey,Short Messy,White
96370,,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Light Grey,Short Pixie,White
96371,,,Black Books,,,White Leather Sneaker with Grey Sole,Navy Slacks,Olive Oxford with Tie,,Light Grey,Short Afro Fade,White
96372,Brown Leather Briefcase,,Silver Aviators,,,Brown Leather Shoes with Laces,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,Mustache,Dark Brown,Short Coil,White
96373,Black Smartphone,,,,,Tan Suede Workboot with Tan Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and No Tie,Thin,Blonde,Straight Sideswept Fringe,White
96374,Brown Leather Briefcase,,Silver Aviators,,,Black Leather Shoes with Laces,Charcoal Slacks,Red Longsleeve,,Black,,White
96375,,,,,,Black Suede Chelseas with Brown Sole,Gray Slacks,Blue Longsleeve,,Dark Brown,Medium Curly Bob,White
96376,Brown Leather Briefcase,Stud Earring,,,,White Canvas Sneaker with White Sole,Dark-Wash Denim,Tan Blazer with Off-White Shirt and No Tie,,Light Grey,Short Coil,White
96377,,,Black Books,,,White Canvas Sneaker with White Sole,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Dark Brown,Short Afro Fade,White
96378,Black Smartphone,,,,Two Rings,White Canvas Sneaker with White Sole,Dark-Wash Denim,Navy Oxford with Tie,,Dark Brown,Short Coil,White
96379,Black Smartphone,,,,,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Olive Oxford with Buttons,,Dark Brown,Straight Sideswept Fringe,White
96380,Brown Leather Briefcase,,,,Two Rings,Tan Suede Workboot with Tan Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Blonde,Long Messy,White
96381,Black Smartphone,,,Tan Worker's Cap,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Buttons,,Blonde,Buzz Cut,White
96382,,,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Navy Oxford with Buttons,,Light Brown,Low Ponytail,White
96383,,,Black Books,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Light Gray Cardigan with Light Gray Oxford Shirt,,Black,Short Afro Fade,White
96384,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Light Gray Longsleeve,Goatee,Light Brown,Low Ponytail,White
96385,Black Smartphone,,Black Books,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,,Blonde,Medium Curly Bob,White
96386,Black Smartphone,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Light Gray Longsleeve,,Dark Brown,Medium Curly Bob,White
96387,,,Silver Aviators,,,Redbrown Leather Workboot with Brown Sole,Charcoal Slacks,Light Gray Longsleeve,,Black,Straight Sideswept Fringe,White
96388,,,Silver Aviators,,,White Canvas Sneaker with White Sole,Gray Slacks,Dark Gray Longsleeve,Beard,Blonde,Medium Curly Bob,White
96389,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Gray Slacks,Charcoal Blazer with Light Blue Shirt and Black Tie,,Black,Short Afro Fade,White
96390,Black Leather Briefcase,,,,,Brown Leather Shoes with Laces,Dark-Wash Denim,Olive Oxford with Pocket,Stubble,Auburn,Short Afro Fade,White
96391,Black Smartphone,,Rosegold Aviators,,,Brown Leather Shoes with Laces,Charcoal Slacks,Navy Oxford with Tie,Stubble,Light Brown,Short Messy,White
96392,,,Black Books,,,Tan Suede Workboot with Tan Sole,Navy Slacks,Olive Oxford with Pocket,Beard,Black,Short Afro Fade,White
96393,Black Smartphone,,,Tan Worker's Cap,,Brown Leather Shoes with Laces,Dark-Wash Denim,Olve Cardigan with Tan Longsleeve Shirt,,Black,,White
96394,,,Black Books,,,Tan Suede Workboot with Tan Sole,,Khaki Jumpsuit,Goatee,Blonde,,White
96395,Brown Leather Briefcase,,Black Books,,,Brown Leather Shoes with Laces,Charcoal Slacks,Olive Oxford with Buttons,,Dark Brown,Buzz Cut,White
96396,Brown Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,,Denim Jumpsuit,,Dark Brown,Straight Sideswept Fringe,White
96397,Blue Lunchbox,,,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Navy Oxford with Tie and Pocket,Stubble,Dark Brown,Updo Bun,White
96398,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Light-Wash Denim,Light Gray Longsleeve,,Black,Straight Sideswept Fringe,White
96399,Black Smartphone,,Black Books,Navy Blue Worker's Cap,,Brown Leather Shoes with Laces,Khaki Slacks,Khaki Oxford with Tie and Pocket,,Black,Buzz Cut,White
96400,Blue Lunchbox,Stud Earring,Black Books,,Ring One Blue,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Olive Oxford with Buttons,,Light Brown,Low Ponytail,White
96401,,,,,,White Canvas Sneaker with White Sole,Charcoal Slacks,Olve Cardigan with Tan Longsleeve Shirt,,Black,Medium Curly Bob,White
96402,Black Leather Briefcase,,Black Books,,,White Leather Sneaker with Grey Sole,Gray Slacks,Light Gray Longsleeve,,Black,Long Messy,White
96403,,,,,,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Blazer with Striped Shirt and Navy Tie,Stubble,Black,Long Messy,White
96404,Lunchbox,,,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Navy Oxford with Tie,,Dark Brown,Medium Curly Bob,White
96405,Brown Leather Briefcase,,,,Two Rings,Tan Suede Workboot with Tan Sole,Khaki Slacks,Blue Longsleeve,Mustache,Light Grey,Long Messy,White
96406,Black Leather Briefcase,,Black Books,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Dark Gray Longsleeve,,Light Brown,Buzz Cut,White
96407,,,,,Two Rings,Black Leather Shoes with Laces,Navy Slacks,Navy Oxford with Pocket,,Light Brown,Updo Bun,White
96408,Brown Leather Briefcase,,,,,Brown Leather Shoes with Laces,Khaki Slacks,Brown Cardigan with Tan Oxford Shirt,,Light Grey,Short Pixie,White
96409,Black Smartphone,,,Navy Blue Worker's Cap,,Black Leather Shoes with Laces,Gray Slacks,Navy Oxford with Tie and Pocket,Stubble,Blonde,Buzz Cut,White
96410,Black Leather Briefcase,,,Navy Blue Worker's Cap,,Black Leather Shoes with Laces,Charcoal Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,,Light Grey,Buzz Cut,White
96411,,,Rosegold Aviators,,,Black Suede Chelseas with Brown Sole,Light-Wash Denim,Light Gray Longsleeve,,Dark Brown,Low Ponytail,White
96412,Black Leather Briefcase,,,,,Black Suede Chelseas with Brown Sole,,Gray Jumpsuit,Mustache,Light Grey,Short Messy,White
96413,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Blue Denim,Blue Longsleeve,,Light Brown,Short Messy,White
96414,Brown Leather Briefcase,,Black Books,Tan Worker's Cap,Two Rings,Tan Suede Workboot with Tan Sole,Navy Slacks,Blue Longsleeve,Stubble,Black,Buzz Cut,White
96415,,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Gray Slacks,Navy Oxford with Tie,,Dark Brown,Straight Sideswept Fringe,White
96416,Black Leather Briefcase,Stud Earring,Black Books,,,White Leather Sneaker with Grey Sole,Light-Wash Denim,Navy Oxford with Buttons,,Light Brown,Short Pixie,White
96417,Brown Leather Briefcase,,Black Books,,,Brown Leather Shoes with Laces,Charcoal Slacks,Brown Cardigan with Beige Longsleeve Shirt,,Blonde,Straight Sideswept Fringe,White
96418,,,,,Two Rings,Brown Leather Shoes with Laces,Charcoal Slacks,Olive Cardigan with Beige Longsleeve Shirt,,Light Brown,Long Messy,White
96419,,,Silver Aviators,,,Black Suede Chelseas with Brown Sole,Blue Denim,Red Longsleeve,,Dark Brown,Short Coil,White
96420,,,,,,Brown Leather Shoes with Laces,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Grey,Short Afro Fade,White
96421,Black Smartphone,,,,,Black Leather Shoes with Laces,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Grey,Long Messy,White
96422,Brown Leather Briefcase,,Black Books,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,Thin,Light Brown,Straight Sideswept Fringe,White
96423,,,,,,Redbrown Leather Workboot with Brown Sole,Navy Slacks,Khaki Oxford with Pocket,Goatee,Blonde,Short Updo,White
96424,Black Leather Briefcase,,Black Books,,,Redbrown Leather Workboot with Brown Sole,Light-Wash Denim,Dark Gray Longsleeve,,Blonde,Long Messy,White
96425,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,Charcoal Slacks,Navy Oxford with Pocket,,Black,Medium Curly Bob,White
96426,,Stud Earring,,Tan Worker's Cap,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Navy Oxford with Buttons,,Blonde,Buzz Cut,White
96427,Black Leather Briefcase,,Rosegold Aviators,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Gray Blazer with Black Shirt and No Tie,,Dark Brown,,White
96428,,,,,,Brown Leather Shoes with Laces,Light-Wash Denim,Olive Oxford with Tie,,Black,Long Messy,White
96429,Black Leather Briefcase,Stud Earring,Silver Aviators,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Olive Oxford with Tie,,Blonde,Short Updo,White
96430,,,,Tan Worker's Cap,Two Rings,White Leather Sneaker with Grey Sole,Khaki,Gray Oxford with Buttons,,Dark Brown,Buzz Cut,White
96431,Black Leather Briefcase,,,,,Black Leather Shoes with Laces,Khaki,Dark Gray Longsleeve,,Black,Short Afro Fade,White
96432,,,Black Books,,,Brown Leather Shoes with Laces,Khaki,Brown Cardigan with Beigse Oxford Shirt,,Light Brown,Short Updo,White
96433,Black Smartphone,Stud Earring,,,Two Rings,White Leather Sneaker with Grey Sole,Navy Slacks,Navy Oxford with Tie,,Blonde,Straight Sideswept Fringe,White
96434,Black Smartphone,,,,,Brown Leather Shoes with Laces,Navy Slacks,Khaki Oxford with Buttons,,Black,Low Ponytail,White
96435,Brown Leather Briefcase,Stud Earring,Silver Aviators,,,Brown Leather Shoes with Laces,Light-Wash Denim,Olive Oxford with Pocket,,Light Brown,Straight Sideswept Fringe,White
96436,Black Leather Briefcase,,Rosegold Aviators,,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Dark Gray Cardigan with Beige Oxford and No Tie,Stubble,Dark Brown,Medium Curly Bob,White
96437,Black Smartphone,,,,,White Leather Sneaker with Grey Sole,,Navy Jumpsuit,,Light Brown,Buzz Cut,White
96438,,,,,,Tan Suede Workboot with Tan Sole,Khaki Slacks,Light Gray Cardigan with Light Gray Longsleeve Shirt,,Dark Brown,Short Coil,White
96439,Black Smartphone,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Olive Cardigan with Light Gray Longsleeve Shirt,,Light Brown,Short Coil,White
96440,,,,,,White Canvas Sneaker with White Sole,,Navy Jumpsuit,,Auburn,Short Messy,White
96441,,Stud Earring,,Tan Worker's Cap,,Black Suede Chelseas with Brown Sole,Dark-Wash Denim,Navy Blazer with Striped Shirt and Navy Tie,,Black,Buzz Cut,White
96442,Black Smartphone,,,Tan Worker's Cap,,Black Leather Shoes with Laces,Dark-Wash Denim,Dark Gray Longsleeve,,Blonde,,White
96443,Brown Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Brown,Medium Curly Bob,White
96444,,,Black Books,,,Brown Leather Shoes with Laces,Khaki Slacks,Gray Oxford with Buttons,,Dark Brown,Short Messy,White
96445,Black Leather Briefcase,,,Tan Worker's Cap,,Redbrown Leather Workboot with Brown Sole,Dark-Wash Denim,Charcoal Blazer with Light Blue Shirt and Black Tie,,Blonde,,White
96446,Black Leather Briefcase,,Black Books,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Gray Blazer with Black Shirt and No Tie,,Auburn,Short Afro Fade,White
96447,Lunchbox,,,,,Tan Suede Workboot with Tan Sole,Khaki,Blue Longsleeve,Stubble,Light Brown,Short Messy,White
96448,Black Leather Briefcase,,,,,Tan Suede Workboot with Tan Sole,Charcoal Slacks,Navy Blazer with Striped Shirt and No Tie,,Light Grey,Short Updo,White
96449,Black Leather Briefcase,Stud Earring,,Tan Worker's Cap,,White Canvas Sneaker with White Sole,Light-Wash Denim,Charcoal Blazer with Light Blue Shirt and No Tie,,Dark Brown,Buzz Cut,White
96450,,,,,,White Canvas Sneaker with White Sole,Gray Slacks,Olive Cardigan with Beige Oxford Shirt,,Light Brown,Long Straight Bangs,White
96451,,,,,Two Rings,White Leather Sneaker with Grey Sole,Khaki Slacks,Olive Oxford with Pocket,,Black,Straight Sideswept Fringe,White
96452,,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Olive Oxford with Pocket,,Blonde,Medium Curly Bob,White
96453,,,Black Books,,,Black Leather Shoes with Laces,Charcoal Slacks,Olive Cardigan with Light Gray Longsleeve Shirt,Goatee,Black,Straight Sideswept Fringe,White
96454,,,Black Books,,,White Canvas Sneaker with White Sole,Gray Slacks,Navy Oxford with Tie,,Blonde,Straight Sideswept Fringe,White
96455,Black Leather Briefcase,,,,,White Canvas Sneaker with White Sole,Navy Slacks,Khaki Oxford with Buttons,,Black,Long Messy,White
96456,Black Smartphone,,,,Two Rings,Tan Suede Workboot with Tan Sole,Gray Slacks,Blue Longsleeve,,Light Brown,Short Pixie,White
96457,Black Smartphone,,Black Books,,,Black Leather Shoes with Laces,Charcoal Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Dark Brown,Low Ponytail,White
96458,Black Leather Briefcase,,,,Two Rings,White Canvas Sneaker with White Sole,Dark-Wash Denim,Dark Gray Longsleeve,,Dark Brown,,White
96459,,,,Tan Worker's Cap,,White Leather Sneaker with Grey Sole,Gray Slacks,Khaki Oxford with Pocket,Stubble,Black,,White
96460,,,Silver Aviators,,,White Leather Sneaker with Grey Sole,Blue Denim,Blue Longsleeve,Thin,Light Grey,Short Pixie,White
96461,Lunchbox,,,,,White Canvas Sneaker with White Sole,Light-Wash Denim,Navy Blazer with Striped Shirt and Navy Tie,,Light Grey,Short Messy,White
96462,,Stud Earring,,,,Black Suede Chelseas with Brown Sole,Khaki Slacks,Blue Longsleeve,,Dark Brown,Updo Bun,White
96463,Black Smartphone,Stud Earring,Silver Aviators,,,Black Suede Chelseas with Brown Sole,Charcoal Slacks,Olive Cardigan with Off-White Oxford Shirt,,Black,Short Pixie,White
96464,Lunchbox,,,Purple Worker's Cap,,Black Suede Chelseas with Brown Sole,Navy Slacks,Charcoal Blazer with Light Blue Shirt and No Tie,,Light Brown,Buzz Cut,White
